                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0605,                 1.3197,                 1.3986,                0.71242,                0.63275,                0.70281,                0.44608,                 1.2597,                 1.3913,                 1.6369,               0.007822,               0.007822,               0.007822
                     35,                 1.0667,                 1.3244,                 1.3979,                 0.6713,                0.57311,                 0.6458,                0.41984,                 1.2439,                 1.5052,                 1.6449,               0.007756,               0.007756,               0.007756
                     36,                 1.0393,                 1.2903,                 1.3801,                0.67126,                0.57243,                0.63299,                0.41421,                 1.2669,                 1.5442,                 1.6671,                0.00769,                0.00769,                0.00769
                     37,                 1.0568,                 1.2789,                 1.3821,                0.62643,                0.60026,                0.64631,                0.42237,                 1.2451,                  1.474,                  1.635,               0.007624,               0.007624,               0.007624
                     38,                 1.0385,                 1.2368,                 1.3776,                0.63405,                0.61509,                0.66316,                0.44108,                 1.2458,                 1.3905,                 1.6463,               0.007558,               0.007558,               0.007558
                     39,                  1.052,                 1.2499,                 1.3865,                0.66363,                0.56736,                0.63918,                0.40974,                 1.2732,                 1.4783,                 1.6826,               0.007492,               0.007492,               0.007492
                     40,                 1.0326,                 1.2231,                 1.3797,                0.60263,                0.64263,                 0.6489,                0.41886,                 1.2367,                 1.4207,                 1.6385,               0.007426,               0.007426,               0.007426
                     41,                 1.0362,                 1.1707,                 1.3624,                0.68418,                0.64662,                0.69454,                0.46051,                 1.2719,                 1.3458,                 1.6845,                0.00736,                0.00736,                0.00736
                     42,                 1.0142,                 1.1714,                 1.3581,                0.67215,                0.59838,                0.66867,                 0.4414,                 1.2265,                 1.4264,                 1.6417,               0.007294,               0.007294,               0.007294
                     43,                 1.0199,                  1.164,                 1.3531,                 0.6273,                 0.6276,                0.67096,                0.43788,                 1.2463,                 1.4141,                 1.6395,               0.007228,               0.007228,               0.007228
                     44,                 1.0016,                 1.1531,                 1.3527,                0.71382,                0.62146,                0.71701,                0.48259,                 1.2273,                 1.2982,                 1.6348,               0.007162,               0.007162,               0.007162
                     45,                 1.0156,                 1.1751,                 1.3563,                0.65225,                0.63744,                0.67521,                0.45825,                 1.2572,                 1.4223,                 1.6654,               0.007096,               0.007096,               0.007096
                     46,                 1.0098,                 1.1522,                 1.3526,                0.66628,                0.60516,                0.65302,                0.43755,                 1.2501,                 1.4337,                 1.6185,                0.00703,                0.00703,                0.00703
                     47,                 1.0103,                 1.1377,                  1.346,                0.67188,                0.61153,                0.67324,                0.45217,                  1.231,                 1.3861,                 1.6421,               0.006964,               0.006964,               0.006964
                     48,                0.98544,                 1.1133,                 1.3323,                0.64083,                0.63518,                0.66928,                 0.4545,                 1.2454,                 1.3481,                 1.6566,               0.006898,               0.006898,               0.006898
                     49,                0.98637,                 1.1033,                 1.3309,                0.68639,                0.67004,                0.71829,                0.47432,                 1.2356,                 1.2374,                 1.6133,               0.006832,               0.006832,               0.006832
                     50,                0.99946,                 1.1215,                 1.3492,                0.71599,                 0.6419,                0.71811,                 0.4936,                 1.2034,                  1.249,                 1.6091,               0.006766,               0.006766,               0.006766
                     51,                0.97386,                  1.069,                 1.3198,                0.66731,                0.66218,                0.70437,                0.47123,                  1.225,                 1.3355,                 1.6199,                 0.0067,                 0.0067,                 0.0067
                     52,                0.97521,                 1.0595,                  1.316,                0.68269,                0.60262,                 0.6536,                0.43812,                 1.2218,                 1.4016,                 1.6281,               0.006634,               0.006634,               0.006634
                     53,                0.97564,                 1.0753,                 1.3276,                0.69607,                0.63967,                0.69871,                0.46576,                 1.2149,                 1.3194,                 1.6161,               0.006568,               0.006568,               0.006568
                     54,                0.98011,                 1.0775,                 1.3333,                0.66482,                0.67791,                0.70361,                 0.4708,                 1.2425,                 1.2935,                 1.6563,               0.006502,               0.006502,               0.006502
                     55,                 0.9797,                  1.036,                  1.318,                0.71946,                0.64292,                0.71601,                0.48501,                 1.2319,                 1.2966,                 1.6107,               0.006436,               0.006436,               0.006436
                     56,                0.96298,                 1.0277,                 1.3273,                0.70437,                0.65095,                0.71455,                0.47993,                 1.2198,                 1.3116,                 1.6065,                0.00637,                0.00637,                0.00637
                     57,                0.94852,                 1.0235,                 1.3022,                0.67285,                0.70394,                0.73139,                0.48525,                 1.2258,                 1.3098,                 1.6223,               0.006304,               0.006304,               0.006304
                     58,                0.96307,                 1.0387,                 1.3266,                0.67191,                0.62537,                0.66641,                0.44395,                  1.273,                 1.4304,                 1.6699,               0.006238,               0.006238,               0.006238
                     59,                0.95259,                 1.0187,                 1.3121,                0.67204,                0.66604,                0.70571,                 0.4732,                 1.2454,                 1.2821,                 1.6465,               0.006172,               0.006172,               0.006172
                     60,                0.96298,                 1.0093,                 1.3085,                0.72237,                0.68321,                0.74745,                0.50752,                 1.2248,                 1.1803,                 1.6274,               0.006106,               0.006106,               0.006106
                     61,                0.95751,                 1.0079,                 1.3075,                 0.6733,                0.70824,                0.73987,                0.50038,                 1.1978,                  1.181,                 1.5978,                0.00604,                0.00604,                0.00604
                     62,                0.93235,                0.97148,                 1.2921,                0.71373,                0.71219,                0.76144,                0.50577,                 1.2121,                  1.157,                 1.6161,               0.005974,               0.005974,               0.005974
                     63,                0.93564,                0.97778,                 1.2898,                0.69902,                0.65916,                0.70265,                0.45933,                 1.2489,                 1.3223,                 1.6631,               0.005908,               0.005908,               0.005908
